#{"t_start": 1602658283.3454275, "env_id": "Ant-v2"}
r,l,t
1780.09231,1000,6322.336411
1711.881454,1000,6334.525
1703.166231,1000,6353.604808
1787.41226,1000,6366.353174
1837.907173,1000,6379.086162
1750.691094,1000,6390.946782
1732.711015,1000,6403.673933
1708.297675,1000,6416.462521
1795.719182,1000,6429.248435
1709.817581,1000,6442.066806
1791.753707,1000,6454.817909
1840.959532,1000,6467.584414
1789.196995,1000,6486.109763
1750.599057,1000,6497.479787
1764.419307,1000,6510.272284
1801.008097,1000,6522.982388
1413.799638,830,6533.513154
1760.947376,1000,6546.254949
1097.096186,646,6554.489251
1703.506645,1000,6567.232683
1741.949825,1000,6580.028066
1747.150875,1000,6592.820874
1777.690611,1000,6612.855721
1780.582985,1000,6625.653576
1805.25953,1000,6638.389006
1840.48315,1000,6651.122648
1741.722629,1000,6662.623467
1786.436947,989,6675.269168
363.866629,203,6677.826641
1732.592069,1000,6690.551257
1802.465679,1000,6702.438209
1754.531433,1000,6715.190789
1767.141267,1000,6727.923072
1792.909937,1000,6748.355501
1788.238952,1000,6761.086291
1748.740468,1000,6773.884015
1753.625614,1000,6786.621821
1806.22385,1000,6799.443944
1743.128691,1000,6811.594435
1776.433666,1000,6823.370507
1804.069257,1000,6835.873001
1691.350676,1000,6848.618207
1799.437837,1000,6861.306853
644.516753,362,6865.915138
1792.890793,1000,6886.390351
1218.166465,672,6894.975233
1835.026895,1000,6906.936215
1807.037986,1000,6919.724371
1890.051326,1000,6932.456759
1692.058142,1000,6945.238076
1755.55632,1000,6957.97178
1862.361537,1000,6970.695511
1221.535325,1000,6983.428932
1696.836467,1000,6995.396108
1817.414636,1000,7015.410369
1803.471209,1000,7028.198948
1836.827696,1000,7040.958441
1874.038162,1000,7053.689656
1761.609921,1000,7066.466471
1820.184358,1000,7079.271689
1796.27309,1000,7092.044954
1806.290408,1000,7104.854694
1738.561541,1000,7117.05481
1804.910546,1000,7129.91945
1752.538138,1000,7149.92992
1618.430732,845,7159.938436
719.648645,374,7164.716114
1806.696801,1000,7177.476247
1833.039069,1000,7190.233202
1829.028842,1000,7203.020241
489.326176,273,7206.505435
1785.377661,1000,7218.685418
1766.107581,1000,7231.553651
1785.097922,1000,7244.303231
336.719039,209,7246.952694
1833.265215,1000,7259.767547
1830.390434,1000,7280.234534
1792.01214,1000,7293.071574
1815.039405,1000,7305.908436
1732.962029,1000,7317.212885
1832.15554,1000,7329.505936
1692.64174,954,7341.688139
1714.53038,1000,7354.428577
1808.205595,1000,7367.169427
1800.149387,1000,7379.898939
1797.619761,1000,7392.676796
1714.867853,1000,7412.048654
1807.409766,1000,7424.184335
1906.432055,1000,7436.973951
1764.273685,1000,7449.73336
1753.567997,1000,7462.508659
1747.386099,1000,7475.309013
1821.849248,1000,7486.803271
1848.798511,1000,7499.537701
1894.03458,1000,7512.301993
1806.630431,1000,7524.60764
1863.551535,1000,7543.576758
1760.556048,1000,7556.381647
46.626845,38,7556.87093
1851.308397,1000,7569.631681
984.670403,543,7576.529135
1849.117919,1000,7589.262214
1764.13126,1000,7602.000465
1573.162493,860,7612.984501
