#{"t_start": 1603760355.0256736, "env_id": "Humanoid-v2"}
r,l,t
77.197655,16,48.207982
78.367457,16,48.478525
88.987107,18,48.777562
83.322221,17,49.071198
82.662748,17,49.378803
83.395683,17,49.6769
89.212801,18,49.991823
76.58765,16,50.270648
76.549422,16,50.550677
83.412612,17,50.847415
94.139109,19,51.180983
80.894258,17,51.46227
83.540918,17,51.753663
88.39021,18,52.119963
82.806328,17,52.422424
98.468742,20,52.769742
87.7867,18,53.080546
119.383128,24,53.499338
138.521973,28,53.979736
121.19049,24,54.39281
82.694559,17,54.675544
102.296633,21,55.038432
101.389766,21,55.412101
106.559591,21,55.770509
83.544839,17,56.060725
88.328324,18,56.3758
137.510301,28,56.867019
103.477692,21,57.232311
83.588321,17,57.523089
111.774589,23,57.921824
137.107478,29,58.441405
126.234282,25,58.882571
186.352906,40,59.591242
174.399315,36,60.220226
160.631452,33,60.784364
216.581822,42,61.508274
136.76442,27,61.98211
98.715016,20,62.327646
189.789482,38,62.984604
204.734208,41,63.696066
167.346734,33,64.267603
120.96189,24,64.693872
148.457007,30,65.212158
338.593517,75,66.556378
572.405983,119,68.684307
270.450707,50,69.653487
293.664979,55,70.648963
258.602723,49,71.530486
319.748265,60,72.583002
271.332501,52,73.504915
278.363485,54,74.506393
258.087159,49,75.368652
313.756649,58,76.409836
295.426484,55,77.406593
351.632373,66,78.572102
307.184213,57,79.642049
272.204719,51,80.549924
254.528478,47,81.393356
337.76878,72,82.67329
293.365429,54,83.650269
301.071227,57,84.643215
343.118613,71,85.95915
382.974916,81,87.414279
469.220883,95,89.703782
364.473992,71,91.649876
346.370772,67,93.294978
368.141514,75,94.659223
356.261744,73,95.942415
496.238959,96,97.628502
245.683038,52,98.537714
353.986156,66,99.702057
298.533122,62,100.814919
499.576033,96,102.48446
291.974789,57,103.491664
303.012335,57,104.477648
293.214172,57,105.474922
345.116246,71,106.739237
309.830513,69,107.949388
279.643245,52,108.882822
341.582182,67,110.044334
376.78681,75,111.389081
343.933498,68,112.571474
378.867594,76,113.904762
421.351054,88,115.492204
380.150367,79,116.929697
633.911273,128,119.225766
274.610286,64,120.367908
313.181138,71,121.626588
207.036991,46,122.435966
90.881614,20,122.774969
133.211555,29,123.290111
106.151546,23,123.692916
152.461503,33,124.288609
94.689145,21,124.65623
95.694066,21,125.027457
109.189528,24,125.469618
175.229643,38,126.142243
112.890677,25,126.578462
169.171012,37,127.23539
141.664971,30,127.841877
111.202116,24,128.273971
108.422738,23,128.689878
92.647908,21,129.06142
255.07668,59,130.096952
123.727427,26,130.557887
136.33341,30,131.105923
148.156112,33,131.686037
123.019875,27,132.17074
151.554376,32,132.689601
118.627116,26,133.022969
127.516451,28,133.379406
157.80398,34,133.836236
179.993312,37,134.335689
130.081769,28,134.708768
250.724987,54,135.48871
284.186081,64,136.503059
181.626941,37,137.326815
272.852008,55,138.234873
424.863704,83,139.794472
430.223646,84,141.316887
386.739782,75,142.704361
335.302469,74,144.447598
372.003833,70,145.969863
462.003069,100,147.778973
315.96652,65,148.925477
454.399298,89,150.512939
340.100569,76,151.870994
436.226975,101,153.658991
415.903137,96,155.342819
385.383587,76,156.687599
411.07484,84,158.191081
386.179151,78,159.571408
261.888726,49,160.455996
339.221188,74,161.768052
306.725293,64,162.894765
297.162783,65,164.047149
333.874935,65,165.17994
349.360016,68,166.404798
252.382,54,167.336939
314.947035,60,168.387576
310.298083,58,169.416066
306.672345,58,170.470185
244.865287,47,171.315447
270.111334,51,172.205653
288.988865,54,173.174404
246.419848,47,173.998015
238.40058,45,174.792323
369.922365,69,176.024052
309.80943,67,177.215056
296.103037,57,178.241383
212.664066,44,179.020428
269.788265,54,180.002965
268.40544,53,180.945097
373.14893,71,182.231718
288.834091,62,183.332673
301.726851,59,184.390083
298.816222,56,185.423755
175.809308,41,186.183358
373.733428,72,187.464168
268.836285,60,188.54985
337.810772,64,189.686351
415.093193,83,191.174901
318.955333,72,192.468359
478.764045,96,195.482871
459.650046,85,197.633295
366.48719,77,199.497723
303.415878,59,200.72463
381.631927,77,202.086975
342.361945,75,203.407333
605.867824,117,205.495578
278.097379,55,206.4728
263.831691,50,207.347762
331.800697,62,208.43527
385.330589,73,209.722862
290.345707,58,210.739817
304.418115,59,211.795408
363.866557,84,213.289387
320.382494,62,214.386998
353.859669,67,215.555231
366.992169,68,216.736599
303.212117,65,217.908947
361.537508,75,219.256341
275.511065,59,220.293199
339.391246,69,221.520396
616.296499,123,223.71525
274.414844,63,224.84081
451.151461,95,226.59825
788.290221,159,230.03468
603.424115,117,232.184302
499.495769,94,233.839119
585.689036,116,235.88578
552.576,108,237.841381
483.798493,93,239.507208
469.174514,91,241.116384
380.778799,75,242.431327
597.883131,118,244.595041
416.960454,80,246.121978
367.902075,68,247.325555
304.206981,58,248.344487
295.027666,57,249.651935
360.068987,70,251.223152
281.226682,53,252.221236
382.16913,73,253.268547
404.133947,77,254.265803
286.614835,54,254.962211
313.990271,60,255.953496
343.812028,66,257.110172
340.706913,65,258.272873
324.729486,61,259.353481
274.973698,53,260.316276
324.6096,61,261.388163
441.269486,89,262.980003
308.70955,60,264.049974
312.001331,61,265.10692
410.688614,78,266.523924
337.68271,64,267.689275
429.673673,82,269.151127
412.997027,78,270.53188
331.62317,64,271.651652
338.095434,75,273.059014
346.196422,66,274.214031
584.918639,116,276.294489
253.224076,52,277.1994
368.130712,71,278.459884
425.558973,87,280.021003
339.582107,65,281.145524
383.987953,73,282.486701
306.338598,60,283.544069
320.729845,61,284.625532
447.824539,85,286.146755
329.575827,65,287.276342
473.849907,93,288.884386
610.113833,119,290.978103
391.188847,75,292.33444
465.646457,105,294.217603
228.24338,50,295.134955
382.013998,75,296.475903
445.381657,90,298.085615
313.134032,74,299.398383
495.968889,94,301.147719
603.572521,124,303.598965
384.514034,80,305.399889
357.345571,74,307.149255
287.804375,57,308.591444
388.209447,72,310.017824
316.784498,71,311.220386
282.666252,62,312.283139
237.345715,53,313.183332
417.45081,85,314.62491
331.561328,79,315.962515
582.653685,116,317.924329
268.277541,58,318.898248
366.957616,70,320.101969
365.8343,75,321.440925
402.034223,76,323.046931
455.689907,94,325.065381
318.871514,68,326.202602
479.395582,103,327.927333
417.026664,89,329.415751
437.975628,83,330.795895
458.269529,88,332.294333
458.566567,99,333.948592
440.526891,92,335.494476
333.554636,67,336.619463
343.051739,70,337.776941
459.236921,90,339.289205
342.194514,66,340.415774
346.818289,72,341.611482
