#{"t_start": 1602724255.1230607, "env_id": "Reacher-v2"}
r,l,t
-11.916968,50,84.047807
-10.434852,50,84.561162
-8.867533,50,85.106457
-13.760169,50,85.619473
-9.626462,50,86.138255
-12.958713,50,86.648903
-11.740371,50,87.179136
-11.171322,50,87.686537
-14.209719,50,88.209337
-12.310462,50,88.72876
-15.577961,50,89.242557
-9.703773,50,89.748038
-18.445361,50,90.268076
-12.94466,50,90.787942
-12.61919,50,91.315696
-11.307276,50,91.834296
-12.997415,50,92.355114
-9.708343,50,92.869027
-13.621678,50,93.390261
-9.070857,50,93.906456
-11.805802,50,94.424027
-16.33642,50,94.937692
-8.650236,50,95.45927
-8.697853,50,95.979249
-8.441087,50,96.488817
-11.635446,50,97.008801
-11.727775,50,97.515893
-15.909208,50,98.032705
-10.740675,50,98.550859
-13.768244,50,99.073517
-8.76292,50,99.605528
-8.270551,50,100.132507
-12.793471,50,100.649212
-16.93674,50,101.160743
-11.22139,50,101.697016
-13.260025,50,102.235877
-11.262268,50,102.766832
-15.31745,50,103.282825
-12.850176,50,103.800741
-13.289006,50,104.322472
-10.366317,50,104.832664
-7.967878,50,105.343616
-6.986837,50,105.874959
-13.565797,50,106.396828
-8.321862,50,106.924732
-8.233932,50,107.452249
-8.956526,50,107.977737
-11.267595,50,108.490126
-10.238294,50,109.003503
-8.818377,50,109.511193
-16.405624,50,110.026061
-8.225447,50,110.753154
-9.58731,50,111.275585
-11.376056,50,111.794216
-11.72636,50,112.30898
-5.940581,50,112.817835
-7.711807,50,113.335793
-8.701246,50,113.852373
-5.136657,50,114.357537
-4.593117,50,114.88544
-5.417066,50,115.408379
-11.327799,50,115.932884
-14.653378,50,116.459459
-6.052704,50,116.982777
-12.760859,50,117.496062
-12.6079,50,117.99342
-15.44058,50,118.421289
-11.302634,50,118.848406
-9.811291,50,119.276405
-5.072957,50,119.699547
-15.388752,50,120.125201
-11.760128,50,120.566576
-8.734773,50,121.002981
-8.565647,50,121.430009
-6.477554,50,121.852809
-14.73199,50,122.282327
-6.679275,50,122.716877
-10.093111,50,123.146945
-13.774661,50,123.565148
-7.272255,50,123.997724
-15.586604,50,124.428949
-10.704625,50,124.861369
-9.154486,50,125.283385
-5.502584,50,125.714939
-8.067468,50,126.144491
-11.066251,50,126.585975
-6.65856,50,127.032299
-6.947923,50,127.569948
-13.137807,50,128.078211
-8.690867,50,128.594277
-10.342087,50,129.111798
-4.752607,50,129.620404
-14.908872,50,130.133565
-5.258969,50,130.644556
-6.640684,50,131.163733
-4.84734,50,131.675211
-11.629356,50,132.183138
-12.849487,50,132.705607
-11.82231,50,133.277992
-4.724314,50,133.800632
-11.111503,50,134.3178
-7.331455,50,134.844064
-10.696425,50,135.362651
-5.778869,50,135.884764
-11.494155,50,136.397611
-8.153078,50,136.910763
-10.024413,50,137.423451
-5.189827,50,137.950634
-5.014135,50,138.532083
-9.521188,50,139.063866
-7.6599,50,139.592584
-6.364052,50,140.103006
-4.430353,50,140.623958
-6.764756,50,141.150816
-4.350516,50,141.670932
-12.136288,50,142.191201
-5.255438,50,142.721984
-9.452302,50,143.235513
-7.09403,50,143.732572
-8.795194,50,144.243229
-11.128176,50,144.739213
-8.915438,50,145.259353
-4.985921,50,145.772327
-7.543687,50,146.304742
-4.616793,50,146.81633
-7.607314,50,147.341613
-13.470816,50,147.863556
-4.212298,50,148.382732
-7.6678,50,148.955812
-8.002731,50,149.493767
-5.560461,50,150.0144
-7.501804,50,150.533232
-8.806402,50,151.062903
-8.177714,50,151.594964
-5.013381,50,152.111097
-5.945611,50,152.628092
-15.562198,50,153.166897
-4.655145,50,153.686049
-9.187721,50,154.250073
-5.949055,50,154.756
-8.860199,50,155.271984
-4.902829,50,155.785908
-13.252464,50,156.297089
-12.018986,50,156.811846
-13.869897,50,157.31411
-7.51085,50,157.832589
-9.260477,50,158.352999
-7.869625,50,158.883699
-9.470732,50,159.397829
-5.744177,50,159.911119
-9.583841,50,160.424521
-13.420898,50,160.934806
-8.010934,50,161.457886
-11.900227,50,161.98305
-11.481778,50,162.500658
-7.165706,50,163.020353
-10.616544,50,163.539777
-4.924542,50,164.056477
-5.762977,50,164.565291
-6.536023,50,165.088612
-11.009747,50,165.60614
-6.690595,50,166.124321
-11.500376,50,166.636588
-9.508701,50,167.157288
-8.200321,50,167.687433
-11.329435,50,168.213383
-13.176714,50,168.711995
-5.658996,50,169.227237
-15.633728,50,169.752674
-9.232621,50,170.277356
-9.909791,50,170.809838
-4.424152,50,171.367396
-11.371425,50,171.877901
-11.060787,50,172.410972
-8.440422,50,172.941124
-10.513539,50,173.467757
-4.806374,50,173.972276
-6.755842,50,174.493123
-11.535408,50,175.018888
-10.943488,50,175.531277
-5.373807,50,175.949799
-9.102871,50,176.374645
-9.646104,50,176.798198
-7.863862,50,177.221138
-5.967671,50,177.64816
-7.896607,50,178.070845
-12.448069,50,178.493541
-9.769698,50,178.91636
-12.618475,50,179.382732
-13.756176,50,179.900389
-12.371777,50,180.417598
-7.270289,50,180.947151
-10.988965,50,181.460179
-13.955916,50,181.972527
-10.460351,50,182.504172
-4.898216,50,183.020033
-8.93299,50,183.551318
-5.141439,50,184.062365
-7.606369,50,184.590461
-10.435655,50,185.104594
-3.755,50,185.622498
-10.062891,50,186.151516
-10.172346,50,186.674766
-11.022903,50,187.19182
-13.188963,50,187.701449
-9.337304,50,188.221534
-8.230705,50,188.74168
-5.885467,50,189.25997
-8.675518,50,189.778618
-9.673678,50,190.301892
-9.33548,50,190.811702
-13.058184,50,191.341759
-10.984858,50,191.853078
-7.549266,50,192.377558
-8.009168,50,192.885199
-9.830094,50,193.405572
-9.10349,50,193.90695
-7.214798,50,194.422189
-13.698107,50,194.942492
-9.021897,50,195.465695
-7.739532,50,195.979948
-4.394234,50,196.508889
-8.577484,50,197.017842
-8.957394,50,197.539085
-14.012575,50,198.062977
-4.926738,50,198.579742
-7.387893,50,199.108851
-7.629312,50,199.630577
-7.549576,50,200.167166
-7.74646,50,200.693269
-8.560785,50,201.214465
-8.974281,50,201.738061
-8.494021,50,202.258004
-12.309776,50,202.77672
-11.954496,50,203.299873
-9.560525,50,203.819496
-5.99979,50,204.334634
-10.135464,50,204.861036
-10.20176,50,205.370293
-10.546527,50,205.881444
-13.140163,50,206.401642
-10.7393,50,206.903226
-8.62797,50,207.422532
-8.806552,50,207.959052
-8.316214,50,208.471979
-9.467947,50,208.991842
-9.739169,50,209.506951
-9.517127,50,210.013939
-8.123457,50,210.543088
-10.449073,50,211.064107
-11.714727,50,211.587115
-11.469501,50,212.3075
-9.934367,50,212.823578
-10.198897,50,213.336832
-14.402859,50,213.86412
-9.028115,50,214.379109
-11.153835,50,214.898454
-10.452066,50,215.428255
-7.839447,50,215.935704
-10.079549,50,216.452737
-11.598786,50,216.972366
-10.200267,50,217.489999
-8.366351,50,218.00447
-11.080438,50,218.520135
-5.796732,50,219.042606
-9.406515,50,219.567244
-9.525794,50,220.087689
-2.895932,50,220.6256
-11.812849,50,221.144477
-6.595899,50,221.656249
-7.795897,50,222.177546
-8.151767,50,222.702158
-7.731529,50,223.21953
-7.332049,50,223.752612
-5.412749,50,224.267218
-12.176906,50,224.771447
-14.114141,50,225.29352
-12.056326,50,225.819115
-11.325911,50,226.332119
-11.229362,50,226.843235
-13.632571,50,227.372794
-4.410463,50,227.89213
-8.137966,50,228.41638
-15.251253,50,228.941921
-9.25661,50,229.461238
-9.259822,50,230.011455
-12.622761,50,230.519032
-3.536471,50,231.030018
-8.986091,50,231.552313
-14.611003,50,232.067266
-7.534663,50,232.588306
-6.690037,50,233.113686
-7.5421,50,233.629698
-9.175676,50,234.157536
-12.300491,50,234.687688
-6.217734,50,235.208102
-12.736202,50,235.722228
-10.886033,50,236.23874
-9.106789,50,236.766358
-7.01337,50,237.275646
-10.894849,50,237.802587
-10.338554,50,238.323215
-10.398005,50,238.842921
-9.029162,50,239.3542
-3.711171,50,239.871853
