verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,results_path,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,H_dims,kill_feats,pair_E_s0,density_ratio_feature_map,adversary_feature_map,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind
3,12000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,759.9888580164743,85.64330974408253,0.0732685923576355,0.016769226640462875,0.0732685923576355,15.069871922334034,2
3,16000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,390.96869655621987,107.80949183764534,0.06559382379055023,0.006429783534258604,0.06559382379055023,20.14806059598923,3
3,20000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,True,5000.0,1524.4020500912598,296.7333492455882,0.06536903977394104,0.005854729097336532,0.06536903977394104,25.20048258304596,4
3,4000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,False,19769.000000000004,1096.83993798274,299.93502125446236,0.03706930205225945,0.02212083712220192,0.03706930205225945,14.716491039594016,0
3,8000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,False,19769.000000000004,830.093420448974,47.95709451526845,0.03373856842517853,0.017132220789790154,0.03373856842517853,23.070170950889594,1
3,12000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,False,19769.000000000004,2279.637906307174,722.527162008997,0.030999340116977688,0.013543816283345222,0.030999340116977688,28.40144214630127,2
3,16000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,False,19769.000000000004,2367.974395937822,535.2974267205274,0.031132470816373825,0.01288610603660345,0.031132470816373825,33.64808169603348,3
3,20000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,True,19769.000000000004,2417.083584959873,699.1520334420459,0.030469961464405063,0.011885123327374458,0.030469961464405063,38.68268857002258,4
3,4000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,False,19769.000000000004,1096.83993798274,299.93502125446236,0.03706930205225945,0.02212083712220192,0.03706930205225945,5.297839462757112,0
3,8000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,False,19769.000000000004,830.093420448974,47.95709451526845,0.03373856842517853,0.017132220789790154,0.03373856842517853,10.794929639498394,1
3,12000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,False,19769.000000000004,2279.637906307174,722.527162008997,0.030999340116977688,0.013543816283345222,0.030999340116977688,16.367514379819234,2
3,16000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,False,19769.000000000004,2367.974395937822,535.2974267205274,0.031132470816373825,0.01288610603660345,0.031132470816373825,21.797825618584948,3
3,20000000,10,20,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,19769,1.0,1.0,True,19769.000000000004,2417.083584959873,699.1520334420459,0.030469961464405063,0.011885123327374458,0.030469961464405063,27.06923568646113,4
3,4000000,10,100,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,96950,1.0,1.0,False,96950.0,1747.5906321368266,605.1434822649397,0.030844110995531082,0.03111085295677185,0.030844110995531082,6.3789335568745935,0
