verbose,N_E_traj,add_history,RL_expert_folder,N_agg_iter,N_epoch,total_opt_steps,kill_feats,pair_E_s0,run_seed,opt_seed,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,learning_rate,H_dims,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,w_ESS,reward,loss_test,loss_train,final,class_test,runtime,partial_obs,result_path,reward_std,results_path,render_final,best_ind
0,10,False,my_RL_experts,1,5,500000,,False,0.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Random,Acrobot-v1,894,1.0,1.0,893.9999999999999,-500.0,1.1305562257766724,1.1184844970703125,True,0.6794081330299377,0.010333160559336344,,,,,,
0,10,False,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,894,1.0,1.0,893.9999999999999,-85.2,1.8276689052581787,0.029064401984214783,False,0.08631319552659987,0.16632790565490724,,,,,,
0,10,False,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,894,1.0,1.0,893.9999999999999,-84.2,3.046218156814575,0.02865748666226864,False,0.07891491800546646,0.3341549038887024,,,,,,
0,10,False,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,894,1.0,1.0,893.9999999999999,-83.6,4.637244701385498,0.03561214357614517,False,0.0924784243106842,0.5018552899360657,,,,,,
0,10,False,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,894,1.0,1.0,893.9999999999999,-86.0,4.9203763008117685,0.09392619878053664,False,0.11097410321235657,0.6699919660886129,,,,,,
0,10,False,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,894,1.0,1.0,893.9999999999999,-84.2,3.046218156814575,0.02865748666226864,True,0.07891491800546646,0.8382192373275756,,,,,,
0,10,True,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,894,1.0,1.0,893.9999999999999,-79.0,1.7362892627716064,0.19752417504787445,False,0.11590629070997238,0.17878677050272626,,,,,,
0,10,True,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,894,1.0,1.0,893.9999999999999,-77.7,2.783910751342773,0.041934285312891006,False,0.10234278440475464,0.35628656546274823,,,,,,
0,10,True,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,894,1.0,1.0,893.9999999999999,-77.5,4.440129280090332,0.0345584973692894,False,0.10357583314180374,0.5350128809611002,,,,,,
0,10,True,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,894,1.0,1.0,893.9999999999999,-87.7,5.518449783325195,0.03280061110854149,False,0.09987669438123704,0.7162495891253153,,,,,,
