verbose,total_opt_steps,N_epoch,N_E_traj,add_history,N_agg_iter,random_demos,RL_expert_folder,RL_expert_load_best,learning_rate,H_dims,loss_function,partial_obs,results_path,render_final,kill_feats,pair_E_s0,run_seed,opt_seed,density_ratio_feature_map,adversary_feature_map,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_algo,T_max,alg,env_id,N_E_samp,w_max,w_min,w_ESS,reward,reward_std,loss_test,loss_train,final,class_test,runtime,best_ind,model_reg_coeff
4,7000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,89.42847298927822,0.14685650205026746,475.1873382756455,-290.9202361714836,169.69203257115143,0.449539452791214,0.2613692879676819,False,0.449539452791214,7.397738003730774,6,
4,8000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,89.40368134740295,0.12885016789708767,453.75169873399,-283.70377349744336,271.59213723473306,0.4496764838695526,0.2446876913309097,False,0.4496764838695526,8.464509387811027,7,
4,9000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,90.46491676637513,0.11481971336901164,433.7620743929816,-372.2117897231189,179.2805698508541,0.4574499130249024,0.2353489100933075,False,0.4574499130249024,9.56190752983093,8,
4,10000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,91.88944949402895,0.1035679228483922,417.63048047919403,-448.1065777156591,194.00183746553424,0.4574499130249024,0.2293117940425873,True,0.4574499130249024,11.083728142579396,8,
4,1000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,1.0,1.0,18000.000000000004,3973.221401379432,112.24112895163307,0.26408833265304565,0.24670714139938354,False,0.26408833265304565,1.0180909315745037,0,
4,2000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,2.57670128637776,0.6872142162564892,17692.632305877116,3984.598501060862,108.10272095803421,0.2520986795425415,0.2322482168674469,False,0.2520986795425415,2.044637751579285,1,
4,3000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,2.1702347675775617,0.7138716112804858,17769.553241513517,3949.888088380208,146.52608354207658,0.2499996274709701,0.2290985286235809,False,0.2499996274709701,3.1141133904457092,2,
4,4000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,2.1304236671556667,0.6901735053603635,17758.058959368907,3940.600543222472,135.61537245076792,0.27278587222099304,0.2529919743537903,False,0.27278587222099304,4.200029305617013,3,
4,5000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,2.142094135702571,0.6734731976199301,17723.199459370215,3926.869931776497,231.46855422311654,0.2511756122112274,0.22869230806827545,False,0.2511756122112274,5.311518812179567,4,
4,6000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,2.1377547392633174,0.6494107781724215,17676.214725490812,3941.6701618457373,209.6066377241967,0.2475457191467285,0.22346660494804385,False,0.2475457191467285,6.41969979206721,5,
4,7000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,2.1078628414016043,0.6329240043330032,17648.2944042182,4100.157297169961,159.08811816599862,0.24241945147514346,0.21773213148117065,False,0.24241945147514346,7.567361744244892,6,
4,8000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,2.0647110039214684,0.6236325337656055,17635.501070139217,4038.0603324782483,161.18815818393725,0.2417080998420716,0.2150655835866928,False,0.2417080998420716,8.677513432502746,7,
4,9000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,2.092539223646544,0.6211646236545509,17633.626734827925,4064.0181633266134,132.8011245387027,0.2495010793209076,0.2241770327091217,False,0.2495010793209076,9.786005886395774,8,
4,10000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov,HalfCheetah-v2,18000,2.1024460048473173,0.6200818162896928,17628.27406732272,4045.6449297071226,127.84491580479748,0.2417080998420716,0.214751660823822,True,0.2417080998420716,11.395860954125721,7,
4,10000000,10,25,False,1,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,,,False,50,50,128,False,True,,,False,,1,,,BC,HalfCheetah-v2,25000,1.0,1.0,25000.0,141.32629314697394,1228.1528481005248,0.26507991552352905,0.24818359315395355,True,0.26507991552352905,9.149752151966094,0,
4,10000000,10,25,False,1,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,,,False,50,50,128,False,True,,,False,,2,,,BC,HalfCheetah-v2,25000,1.0,1.0,25000.0,3890.869296705997,449.1692458083898,0.2338160127401352,0.20851494371891025,True,0.2338160127401352,9.021780415376028,0,
4,1000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,1.0,1.0,25000.0,-203.63164545257595,678.9532130417031,0.3446600139141083,0.3376889526844025,False,0.3446600139141083,1.252928094069163,0,
