verbose,total_opt_steps,N_epoch,N_E_traj,add_history,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,kill_feats,pair_E_s0,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,learning_rate,H_dims,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,N_E_samp,loss_train,loss_test,reward,runtime,alg,env_id,class_test,w_max,w_min,w_ESS,final
0,2400000,10,10,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,16434.0,0.02593119628727436,0.04105222970247269,21.0,7.649742615222932,BC,PongNoFrameskip-v4,0.013879588805139065,1.0,1.0,16433.999999999996,False
0,3000000,10,10,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,16434.0,0.02593119628727436,0.04105222970247269,21.0,9.544589857260387,BC,PongNoFrameskip-v4,0.013879588805139065,1.0,1.0,16433.999999999996,True
0,600000,10,125,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,205278.0,0.2031027525663376,0.20606854557991028,21.0,13.043946468830105,BC,PongNoFrameskip-v4,0.07950326055288315,1.0,1.0,205278.0,False
0,1200000,10,125,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,205278.0,0.07226186990737915,0.0756014883518219,21.0,26.222756930192308,BC,PongNoFrameskip-v4,0.026359042152762413,1.0,1.0,205278.0,False
0,1800000,10,125,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,205278.0,0.03842445835471153,0.044073719531297684,12.144,38.130283264319104,BC,PongNoFrameskip-v4,0.013575211167335509,1.0,1.0,205278.0,False
0,2400000,10,125,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,205278.0,0.034843772649765015,0.04123493656516075,21.0,51.28273855447769,BC,PongNoFrameskip-v4,0.014123089611530304,1.0,1.0,205278.0,False
0,3000000,10,125,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,205278.0,0.031511422246694565,0.03732343018054962,21.0,53.562522570292145,BC,PongNoFrameskip-v4,0.011809824965894222,1.0,1.0,205278.0,True
0,600000,10,1,False,5,1.0,1.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1640.0,0.06709375977516174,0.8931893110275269,-21.0,0.9705814838409424,BC,PongNoFrameskip-v4,0.13203871250152588,1.0,1.0,1640.0,False
0,1200000,10,1,False,5,1.0,1.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1640.0,0.0037119528278708467,1.287751317024231,-21.0,1.950056064128876,BC,PongNoFrameskip-v4,0.11475010961294176,1.0,1.0,1640.0,False
0,1800000,10,1,False,5,1.0,1.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1640.0,0.002285809721797705,1.3656644821166992,-21.0,2.9364810665448497,BC,PongNoFrameskip-v4,0.11310647428035735,1.0,1.0,1640.0,False
