verbose,N_E_traj,add_history,RL_expert_folder,N_agg_iter,N_epoch,total_opt_steps,kill_feats,pair_E_s0,run_seed,opt_seed,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,learning_rate,H_dims,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,w_ESS,reward,loss_test,loss_train,final,class_test,runtime,partial_obs,result_path,reward_std
0,10,True,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.09628044068813324,0.08506550639867783,False,0.0406000018119812,0.968134105205536,,,
0,10,True,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.09628044068813324,0.08506550639867783,True,0.0406000018119812,1.2144755919774373,,,
0,40,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,Expert,CartPole-v1,20000,1.0,1.0,20000.0,500.0,0.641765832901001,0.6395592093467712,True,0.0,0.02717167536417643,,,
0,40,False,my_RL_experts,1,5,500000,,False,0.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,Random,CartPole-v1,20000,1.0,1.0,20000.0,23.6,0.717051088809967,0.7150988578796387,True,0.4991999864578247,0.001954968770345052,,,
0,40,False,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,20000,1.0,1.0,20000.0,500.0,0.0880315825343132,0.09179026633501053,False,0.03359999880194664,0.3810668746630351,,,
0,40,False,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,20000,1.0,1.0,20000.0,500.0,0.1057836338877678,0.11394095420837402,False,0.04520000144839287,0.7675318400065104,,,
0,40,False,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,20000,1.0,1.0,20000.0,500.0,0.1030467301607132,0.11104490607976912,False,0.04479999840259552,1.153429929415385,,,
0,40,False,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,20000,1.0,1.0,20000.0,500.0,0.08151128888130188,0.09127819538116456,False,0.03559999912977218,1.5359491189320882,,,
0,40,False,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,20000,1.0,1.0,20000.0,500.0,0.08151128888130188,0.09127819538116456,True,0.03559999912977218,1.7805077234903972,,,
0,40,True,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,20000,1.0,1.0,20000.0,500.0,0.13238151371479034,0.14405184984207153,False,0.056200001388788216,0.3896810928980509,,,
0,40,True,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,20000,1.0,1.0,20000.0,500.0,0.09103024750947952,0.09682910144329072,False,0.03480000048875809,0.7899314006169637,,,
0,40,True,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,20000,1.0,1.0,20000.0,500.0,0.09282750636339188,0.09933679550886154,False,0.03579999879002571,1.1857836206754049,,,
