verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,density_ratio_feature_map,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,results_path,kill_feats,pair_E_s0,adversary_feature_map,H_dims,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind
0,2200000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0008739257570294,0.9992569914190372,False,105.99997086503731,-114.0,0.0,0.7222027778625488,0.14619705080986026,0.08076923340559006,1.6438852349917097,10
0,2400000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0008862768562077,0.9992485132695644,False,105.99997010963708,-114.0,0.0,0.6823132038116455,0.14505836367607114,0.08269231021404266,1.7916808009147644,11
0,2600000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0009131118435692,0.9992251667460366,False,105.99996824986206,-114.0,0.0,0.7703505158424377,0.14389201998710632,0.08076923340559006,1.94360013405482,12
0,2800000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0009269823158595,0.9992167087277708,False,105.99996740442828,-114.0,0.0,0.7780502438545227,0.1422940492630005,0.08173076808452606,2.097825407981873,13
0,3000000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0009406972080397,0.999207910186075,False,105.99996654073023,-114.0,0.0,0.8189393877983093,0.14147737622261047,0.08076923340559006,2.2466157674789438,14
0,3200000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0009521018097118,0.999197388680647,False,105.99996568857748,-114.0,0.0,0.837535560131073,0.14118751883506775,0.08269231021404266,2.3940254886945094,15
0,3400000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.000963526121156,0.9991868861463812,False,105.99996482568079,-114.0,0.0,0.8453832864761353,0.14058203995227814,0.07980769127607346,2.542354170481364,16
0,3600000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.000974903649659,0.9991764782216508,False,105.99996395773712,-114.0,0.0,0.8861642479896545,0.13979728519916534,0.08365384489297867,2.6912525415420534,17
0,3800000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0009861825847473,0.9991662103967058,False,105.99996308889921,-114.0,0.0,0.8932019472122192,0.13949796557426453,0.07980769127607346,2.842946441968282,18
0,4000000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.000997324365765,0.9991561099887252,True,105.99996222221444,-119.4,4.127953488110058,1.01006019115448,0.13884536921977994,0.07980769127607346,3.0060611327489215,19
0,200000,10,1,True,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov+H-PO0,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,0.17242197692394254,0.08281044661998749,0.02884615398943424,0.1549475113550822,0
0,400000,10,1,True,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov+H-PO0,MountainCar-v0,106,1.7729023122998129,0.5051636135398212,False,76.53875000503163,-200.0,0.0,0.21737343072891235,0.0586525984108448,0.038461539894342416,0.3051209171613057,1
0,600000,10,1,True,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov+H-PO0,MountainCar-v0,106,1.616902999268645,0.5989698219340146,False,85.05579210565955,-200.0,0.0,0.29666128754615784,0.04274209961295128,0.025961538776755333,0.4555799166361491,2
0,800000,10,1,True,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov+H-PO0,MountainCar-v0,106,1.4335126912380578,0.708381085474837,False,94.36520081347365,-200.0,0.0,0.8755972981452942,0.03569111600518226,0.0634615421295166,0.6161466519037883,3
0,1000000,10,1,True,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov+H-PO0,MountainCar-v0,106,1.2826816755381814,0.7987432299956586,False,100.62837755591588,-200.0,0.0,0.7186769247055054,0.04142197966575623,0.04807692393660545,0.7748340447743733,4
0,1200000,10,1,True,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov+H-PO0,MountainCar-v0,106,1.160171187771326,0.8183384583551147,False,104.11200884565895,-200.0,0.0,0.4930614829063416,0.04094115644693375,0.036538463085889816,0.9320697466532388,5
0,1400000,10,1,True,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov+H-PO0,MountainCar-v0,106,1.0600714888615417,0.8128889546368818,False,105.64619506855148,-200.0,0.0,4.368651390075684,0.04250305891036986,0.09134615212678908,1.089402977625529,6
