verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,H_dims,kill_feats,pair_E_s0,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime
3,4000000,10,20,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,15585,1.0,1.0,False,15585.0,199.1753416404623,8.896483275399204,0.10218005627393724,0.04010603949427605,0.10218005627393724,4.661027324199677
3,6000000,10,20,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,15585,1.0,1.0,False,15585.0,500.990924799624,380.4441016975541,0.09652101248502733,0.030834373086690906,0.09652101248502733,7.009326974550882
3,8000000,10,20,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,15585,1.0,1.0,False,15585.0,380.32128105913534,320.8926697638646,0.09323778748512268,0.025525098666548732,0.09323778748512268,9.357301839192708
3,10000000,10,20,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,15585,1.0,1.0,True,15585.0,650.2542172869312,490.88802123049413,0.0919155701994896,0.02192228101193905,0.0919155701994896,11.729933416843414
0,500000,5,20,False,0.01,False,1,,0,False,my_RL_experts,False,[64],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,Random,Hopper-v2,15585,1.0,1.0,True,15585.0,46.17503693245463,1.2373066197250029,2.03345251083374,2.0128092765808105,2.0195872783660893,0.002746069431304932
3,2000000,10,100,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,58479,1.0,1.0,False,58479.0,1052.6405813523684,419.5116993088282,0.10287515074014664,0.09760811924934387,0.10287515074014664,2.915182852745056
3,4000000,10,100,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,58479,1.0,1.0,False,58479.0,841.3622997279788,530.6769057310988,0.08262062072753906,0.07362405210733414,0.08262062072753906,5.704636843999228
3,6000000,10,100,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,58479,1.0,1.0,False,58479.0,391.09417246039567,289.1897196552096,0.07137404382228851,0.05952686443924904,0.07137404382228851,8.285010441144308
3,8000000,10,100,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,58479,1.0,1.0,False,58479.0,382.5460732969654,287.72919395773613,0.06366673856973648,0.05059561133384705,0.06366673856973648,10.85591532389323
3,10000000,10,100,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,58479,1.0,1.0,True,58479.0,730.6503267609912,288.6597424780542,0.05850424990057945,0.04508351162075997,0.05850424990057945,13.233418881893158
3,2000000,10,100,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,58479,1.0,1.0,False,58479.0,337.466419014829,207.91611086263646,0.07820040732622148,0.06884882599115373,0.07820040732622148,2.6348660866419475
3,4000000,10,100,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,58479,1.0,1.0,False,58479.0,335.30483157342337,133.0555074628065,0.06466490030288696,0.052669376134872437,0.06466490030288696,5.259393755594889
3,6000000,10,100,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,58479,1.0,1.0,False,58479.0,429.8955043236155,267.52773761895924,0.05659690126776695,0.04329543560743332,0.05659690126776695,7.906748942534128
3,8000000,10,100,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,58479,1.0,1.0,False,58479.0,821.6886968161415,222.44846520949798,0.052404515445232384,0.03807785362005234,0.052404515445232384,10.728472967942556
3,10000000,10,100,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,58479,1.0,1.0,True,58479.0,814.0644382185683,488.7345753003037,0.048606835305690765,0.03376547992229462,0.048606835305690765,13.168585924307505
0,500000,5,100,False,0.01,False,1,,0,False,my_RL_experts,False,[64],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,Random,Hopper-v2,58479,1.0,1.0,True,58479.0,47.04574197438219,1.803409040127663,2.0327696800231934,2.0215103626251216,2.025301456451416,0.004765133062998454
