verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,result_path,kill_feats,pair_E_s0,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,H_dims,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime
0,1200000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO1,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,2.1956586837768555,0.016812359914183617,0.06923077255487442,0.6224599440892538
0,1600000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO1,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,1.846303105354309,0.01989910751581192,0.06538461893796921,0.8277503927548726
0,2000000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO1,MountainCar-v0,106,1.0,1.0,True,106.0,-191.2,26.4,2.159027338027954,0.03289369493722916,0.06057692319154739,1.0536163250605266
0,400000,10,4,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,MountainCar-v0,412,1.0,1.0,False,412.0,-102.0,10.464224768228172,0.03472229838371277,0.03198222443461418,0.01442307699471712,0.20804502964019767
0,800000,10,4,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,MountainCar-v0,412,1.0,1.0,False,412.0,-102.0,10.464224768228172,0.020037837326526642,0.015595545060932638,0.006730769295245409,0.4095555822054545
0,1200000,10,4,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,MountainCar-v0,412,1.0,1.0,False,412.0,-102.0,10.464224768228172,0.02041319757699966,0.012148785404860972,0.010576923377811907,0.6043675462404887
0,1600000,10,4,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,MountainCar-v0,412,1.0,1.0,False,412.0,-102.0,10.464224768228172,0.013192394748330116,0.008865507319569588,0.001923076924867928,0.8043958266576131
0,2000000,10,4,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,MountainCar-v0,412,1.0,1.0,True,412.0,-105.4,7.39188744503053,0.014462255872786043,0.007780141662806272,0.007692307699471712,1.0158629020055134
0,400000,10,4,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,MountainCar-v0,412,1.0,1.0,False,412.0,-102.25,10.568230693924123,0.05095817893743515,0.018778532743453983,0.013461538590490818,0.21414038340250646
0,800000,10,4,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,MountainCar-v0,412,1.0,1.0,False,412.0,-102.0,10.464224768228172,0.09271449595689774,0.011731128208339214,0.004807692486792803,0.4186233043670654
0,1200000,10,4,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,MountainCar-v0,412,1.0,1.0,False,412.0,-102.0,10.464224768228172,0.13811011612415314,0.010232362896203995,0.009615384973585606,0.6274962027867635
0,1600000,10,4,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,MountainCar-v0,412,1.0,1.0,False,412.0,-102.5,10.828203913853855,0.1768825799226761,0.010781499557197094,0.007692307699471712,0.8426732420921326
0,2000000,10,4,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,,False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,MountainCar-v0,412,1.0,1.0,True,412.0,-105.8,7.507329751649385,0.2340569943189621,0.010407132096588613,0.009615384973585606,1.0650524457295736
0,400000,10,4,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO0,MountainCar-v0,412,1.0,1.0,False,412.0,-139.5,35.074919814591176,0.21401698887348167,0.2066342979669571,0.07980769127607346,0.2111323634783427
0,800000,10,4,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO0,MountainCar-v0,412,1.0,1.0,False,412.0,-139.0,35.397740040855716,0.21058174967765808,0.2025331258773804,0.07692307978868483,0.41758498350779216
0,1200000,10,4,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO0,MountainCar-v0,412,1.0,1.0,False,412.0,-139.5,35.074919814591176,0.2089713215827942,0.20123805105686188,0.07980769127607346,0.6261698126792907
