verbose,total_opt_steps,N_epoch,N_E_traj,add_history,N_agg_iter,random_demos,RL_expert_folder,RL_expert_load_best,learning_rate,H_dims,loss_function,partial_obs,result_path,kill_feats,pair_E_s0,run_seed,opt_seed,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_algo,T_max,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,results_path,render_final,best_ind
4,24000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L1,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-4706.947970379586,16553.93311095257,0.5426002740859985,0.4994869530200958,0.5426002740859985,32.91147660017013,,,
4,32000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L1,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-5351.648845249068,22797.066863705768,0.5189217329025269,0.4727194905281067,0.5189217329025269,44.24855708281199,,,
4,40000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L1,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,True,25000.0,-7295.640202745201,17355.734175087877,0.5083702802658081,0.4603979289531708,0.5083702802658081,55.35162043968837,,,
4,8000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],logcosh,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-688.8473515512346,5790.514083563392,0.07872121036052704,0.06970103085041046,0.07872121036052704,10.624506386121114,,,
4,16000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],logcosh,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-2551.215306649465,6567.657952639575,0.06758688390254974,0.05712760239839554,0.06758688390254974,22.09257737398148,,,
4,24000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],logcosh,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-1738.9794102727612,9091.757992576588,0.06238104775547981,0.05065089464187622,0.06238104775547981,33.62063452005386,,,
4,32000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],logcosh,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-2021.2188898581528,7157.5082338667735,0.059422723948955536,0.0469028614461422,0.059422723948955536,45.17562011480332,,,
4,40000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],logcosh,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,True,25000.0,-15050.63857533127,33842.70686666223,0.05633707344532012,0.04353800788521767,0.05633707344532012,56.27736047108968,,,
4,8000000,10,25,False,5,False,my_RL_experts,True,0.01,[512],mse,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-5610.513897817789,19215.18050180291,0.19100655615329745,0.1772262305021286,0.19100655615329745,11.987193822860718,,,
4,16000000,10,25,False,5,False,my_RL_experts,True,0.01,[512],mse,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-11462.0499686949,37939.032635343836,0.20454250276088715,0.18975771963596344,0.20454250276088715,24.178300217787427,,,
