N_E_traj,verbose,total_opt_steps,kill_feats,add_history,RL_expert_folder,FORWARD,opt_seed,run_seed,learning_rate_BC,learning_rate,density_ratio_feature_map,density_ratio_alpha,results_path,N_ALICE_traj,N_agg_iter,N_epoch,adversary_feature_map,entropy_coeff,H_dims,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max_all,T_max,model_reg_coeff,partial_obs,recent_samp_priority_exp,horizon_weight_offset_exp,pair_with_E,drop_first,adversary_t_bucket_size,recompute_adversary_freq,loss_function,alg,env_id,N_E_samp,entropy,num_switched,epoch_losses,best_epoch_ind,mean_abs_logit,min_abs_logit,w_max,w_min,final,iteration_num,horizon,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,JS_div
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.04268714040517807,1.0,"[0.03409450112305119, 0.031965338, 0.028925497, 0.027190782, 0.027047964]",4.0,2.569891929626465,0.013967007398605348,1.0,9.447917460971923e-07,False,22,1,55.08893602777675,23.0,0.0,0.07419679313898088,0.027034008875489242,0.03999999910593033,4.944125401973724,0.17042509134038233
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.11823730170726775,10.0,"[0.07601783055059093, 0.068434425, 0.0670557, 0.0663901, 0.06450658]",4.0,1.469936728477478,0.025972098112106327,1.0,2.9596540481234737e-18,False,23,1,55.66808370510726,24.0,0.0,0.37369251251220703,0.06441483646631241,0.14000000059604645,5.149363307158152,0.3694855011316624
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.10699347406625748,17.0,"[0.058844304905380014, 0.045766693, 0.039212275, 0.038454786, 0.03675412]",4.0,1.9744726419448853,0.010243356227874756,1.0,4.381968038327581e-05,False,24,1,55.69058016022632,25.0,0.0,0.2153466641902924,0.03631982952356338,0.10000000149011612,5.396179989973704,0.1565052221624811
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.03606010973453522,0.0,"[0.028279573733307188, 0.025663024, 0.024871176, 0.02374849, 0.023471378]",4.0,2.2027676105499268,0.4992586076259613,1.0,8.196698096999273e-05,False,25,1,60.02432906442912,26.0,0.0,0.2174597531557083,0.023397181183099747,0.10000000149011612,5.628979754447937,0.1445504419725517
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.13825654983520508,27.0,"[0.08153454494819452, 0.080124356, 0.07081971, 0.07000972, 0.06767676]",4.0,1.3032951354980469,0.19581031799316406,1.0,8.869536082512321e-13,False,26,1,60.20737939580558,27.0,0.0,0.213895320892334,0.06859741359949112,0.03999999910593033,5.839367993672688,0.4608899236584636
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.03441741690039635,0.0,"[0.01773568617787305, 0.016795695, 0.016510868, 0.015938811, 0.015518333]",4.0,2.201781988143921,0.459618479013443,1.0,9.614432094469228e-05,False,27,1,59.099402813814145,28.0,0.0,0.15762093663215634,0.01559607405215502,0.059999998658895486,6.10334122578303,0.17084792399800053
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.13804960250854492,3.0,"[0.06116529994374105, 0.06785453, 0.05884436, 0.057273127, 0.056183208]",4.0,1.2030378580093384,0.0028645694255828857,1.0,3.546833737774082e-30,False,28,1,54.89643387159482,29.0,0.0,0.1821785718202591,0.055874433368444436,0.019999999552965164,6.336177452405294,0.8290035742601118
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.05989481508731843,7.0,"[0.09450263816004735, 0.09096775, 0.08893048, 0.087039754, 0.08608954]",4.0,2.5058765411376958,0.06591105461120605,1.0,0.9413171986169614,False,29,1,99.9654027145977,30.0,0.0,0.1058097630739212,0.08626952767372131,0.03999999910593033,6.520803447564442,0.20310501322717736
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.11419080942869185,21.0,"[0.056732497893571494, 0.049934316, 0.046227824, 0.04610808, 0.044135418]",4.0,1.569969654083252,0.018708676099777208,1.0,3.817893152736163e-12,False,30,1,50.56351312590851,31.0,0.0,0.21856771409511566,0.04398563876748085,0.10000000149011612,6.729560017585754,0.5473674212164304
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.08514653146266937,20.0,"[0.06014464132040302, 0.054579295, 0.045996632, 0.045848288, 0.04466619]",4.0,2.1094167232513428,0.00512087345123291,1.0,0.000530058239077609,False,31,1,61.5163541700405,32.0,0.0,0.11038539558649063,0.044224914163351066,0.03999999910593033,6.956686782836914,0.14866560211855528
